title,author,rating,rating_count,description,isbn,image,url_from_jsonld,book_url,pages,published_year,language,genres
"Ender’s Game (Ender&apos;s Saga, #1)",Orson Scott Card,4.31,1475997,,9780812550702,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,,https://www.goodreads.com/book/show/375802.Ender_s_Game,324.0,,,"Science Fiction, Fiction, Young Adult, Fantasy, Classics"
The Catcher in the Rye,J.D. Salinger,3.8,3903212,,9780316769174,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,277.0,,,"Classics, Fiction, Young Adult, Literature, School"
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2468085,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,,https://www.goodreads.com/book/show/1934.Little_Women,449.0,,,"Classics, Fiction, Historical Fiction, Young Adult, Romance"
One Hundred Years of Solitude,Gabriel García Márquez,4.12,1108438,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,417.0,,,"Classics, Fiction, Magical Realism, Fantasy, Literature"
A Thousand Splendid Suns,Khaled Hosseini,4.46,1741724,,9781594489501,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,372.0,,,"Fiction, Historical Fiction, Book Club, Contemporary, Historical"
The Outsiders,S.E. Hinton,4.15,1610401,,9780670532575,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,,https://www.goodreads.com/book/show/231804.The_Outsiders,208.0,,,"Classics, Young Adult, Fiction, School, Read For School"
The Secret Garden,Frances Hodgson Burnett,4.17,1299620,,9780517189603,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,,https://www.goodreads.com/book/show/2998.The_Secret_Garden,331.0,,,"Classics, Fiction, Childrens, Young Adult, Historical Fiction"
The Princess Bride,William Goldman,4.27,949200,,9780345418265,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,,https://www.goodreads.com/book/show/21787.The_Princess_Bride,429.0,,,"Fantasy, Classics, Fiction, Romance, Humor"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2740618,,9780553588484,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,835.0,,,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult"
The Time Traveler&apos;s Wife,Audrey Niffenegger,4,1859366,,9781939126016,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684.jpg,,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,537.0,,,"Fiction, Romance, Fantasy, Time Travel, Science Fiction"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4119236,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,759.0,,,"Fantasy, Young Adult, Fiction, Harry Potter, Magic"
The Odyssey,Homer,3.83,1196754,,9780143039952,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381.jpg,,https://www.goodreads.com/book/show/1381.The_Odyssey,541.0,,,"Classics, Fiction, Poetry, Mythology, Fantasy"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.91,1899902,,9780143131847,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,,https://www.goodreads.com/book/show/35031085-frankenstein,260.0,,,"Classics, Horror, Fiction, Science Fiction, Gothic"
"The Handmaid’s Tale (The Handmaid&apos;s Tale, #1)",Margaret Atwood,4.15,2434684,,9780385490818,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,311.0,,,"Fiction, Classics, Dystopia, Science Fiction, Feminism"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L&apos;Engle,3.97,1288069,,9781250153272,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,218.0,,,"Fantasy, Fiction, Classics, Young Adult, Science Fiction"
