title,author,rating,rating_count,description,isbn,image,book_url,pages,published_year,language,genres,source
Matilda,Roald Dahl,4.34,1113259.0,,9780435123987.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg,https://www.goodreads.com/book/show/39988.Matilda,240.0,,,"Fiction, Childrens, Classics, Fantasy, Middle Grade",web_scraping
Water for Elephants,Sara Gruen,4.11,1703382.0,,9781565125605.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641.jpg,https://www.goodreads.com/book/show/43641.Water_for_Elephants,368.0,,,"Fiction, Historical Fiction, Romance, Book Club, Historical",web_scraping
"Harry Potter and the Sorcerer&apos;s Stone (Harry Potter, #1)",J.K. Rowling,4.47,11448200.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155.jpg,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,333.0,,,"Fantasy, Fiction, Young Adult, Harry Potter, Magic",web_scraping
The Stand,Stephen  King,4.35,837360.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267.jpg,https://www.goodreads.com/book/show/149267.The_Stand,1152.0,,,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic",web_scraping
Catch-22,Joseph Heller,3.99,888119.0,,9780684833392.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,https://www.goodreads.com/book/show/168668.Catch_22,453.0,,,"Classics, Fiction, Historical Fiction, War, Humor",web_scraping
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,326960.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,389.0,,,"Classics, Mystery, Fiction, Short Stories, Crime",web_scraping
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,832833.0,,9780451222138.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,976.0,,,"Historical Fiction, Fiction, Historical, Fantasy, Classics",web_scraping
Rebecca,Daphne du Maurier,4.25,724004.0,,9780316323703.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948.jpg,https://www.goodreads.com/book/show/17899948-rebecca,449.0,,,"Classics, Fiction, Mystery, Gothic, Romance",web_scraping
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,506354.0,,9780380395866.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg,https://www.goodreads.com/book/show/76620.Watership_Down,478.0,,,"Classics, Fiction, Fantasy, Young Adult, Animals",web_scraping
The Color Purple,Alice Walker,4.28,753851.0,,9780143135692.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857.jpg,https://www.goodreads.com/book/show/52892857-the-color-purple,287.0,,,"Classics, Fiction, Historical Fiction, Feminism, LGBT",web_scraping
Great Expectations,Charles Dickens,3.8,875835.0,,9780192833594.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg,https://www.goodreads.com/book/show/2623.Great_Expectations,544.0,,,"Classics, Fiction, Literature, Historical Fiction, School",web_scraping
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1155979.0,,9780440242949.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,https://www.goodreads.com/book/show/10964.Outlander,850.0,,,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel",web_scraping
Anna Karenina,Leo Tolstoy,4.1,934427.0,,9780345803924.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg,https://www.goodreads.com/book/show/15823480-anna-karenina,964.0,,,"Classics, Fiction, Romance, Russia, Historical Fiction",web_scraping
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3160221.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,432.0,,,"Fantasy, Classics, Fiction, Adventure, Audiobook",web_scraping
A Clockwork Orange,Anthony Burgess,4.0,771532.0,,9780393341768.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,240.0,,,"Classics, Fiction, Science Fiction, Dystopia, Horror",web_scraping
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,781313.0,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,325.0,,,"Classics, Fiction, Psychology, Literature, Novels",web_scraping
The Brothers Karamazov,Fyodor Dostoevsky,4.39,388357.0,,9780374528379.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,796.0,,,"Classics, Fiction, Russia, Philosophy, Russian Literature",web_scraping
My Sister&apos;s Keeper,Jodi Picoult,4.11,1277239.0,,9780743454537.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917.jpg,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,423.0,,,"Fiction, Contemporary, Book Club, Chick Lit, Young Adult",web_scraping
A Tree Grows in Brooklyn,Betty  Smith,4.3,513901.0,,9780061120077.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,496.0,,,"Classics, Fiction, Historical Fiction, Book Club, Young Adult",web_scraping
The Elephant Tree,R.D. Ronald,3.9,41120.0,,9781848764569.0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327248026i/9293020.jpg,https://www.goodreads.com/book/show/9293020-the-elephant-tree,252.0,,,"Thriller, Mystery, Crime, Fiction, Mystery Thriller",web_scraping
